date;search_volume
22.01.12;0,916024451
23.01.12;0,845561031
24.01.12;0,845561031
25.01.12;0,916024451
26.01.12;0,732819561
27.01.12;0,758991688
28.01.12;0,706647433
29.01.12;0,837508069
30.01.12;0,680475306
31.01.12;0,654303179
01.02.12;0,758991688
02.02.12;0,785163815
03.02.12;0,889852324
04.02.12;0,889852324
05.02.12;0,785163815
06.02.12;0,680475306
07.02.12;0,654303179
08.02.12;0,680475306
09.02.12;0,706647433
10.02.12;0,601958925
11.02.12;0,785163815
12.02.12;0,758991688
13.02.12;0,601958925
14.02.12;0,758991688
15.02.12;0,758991688
16.02.12;0,863680196
17.02.12;0,732819561
18.02.12;0,601958925
19.02.12;0,706647433
20.02.12;0,654303179
21.02.12;0,601958925
22.02.12;0,654303179
23.02.12;0,785163815
24.02.12;0,628131052
25.02.12;0,628131052
26.02.12;0,601958925
27.02.12;0,628131052
28.02.12;0,628131052
29.02.12;0,654303179
01.03.12;0,575786798
02.03.12;1,046885086
03.03.12;0,916024451
04.03.12;0,811335942
05.03.12;0,680475306
06.03.12;0,575786798
07.03.12;0,54961467
08.03.12;0,54961467
09.03.12;0,523442543
10.03.12;0,575786798
11.03.12;0,654303179
12.03.12;0,523442543
13.03.12;0,732819561
14.03.12;0,54961467
15.03.12;0,601958925
16.03.12;0,628131052
17.03.12;0,575786798
18.03.12;0,628131052
19.03.12;0,601958925
20.03.12;0,523442543
21.03.12;0,54961467
22.03.12;0,654303179
23.03.12;0,523442543
24.03.12;0,628131052
25.03.12;0,497270416
26.03.12;0,575786798
27.03.12;0,575786798
28.03.12;0,601958925
29.03.12;0,471098289
30.03.12;0,523442543
31.03.12;0,54961467
01.04.12;0,654303179
02.04.12;1,020712959
03.04.12;0,863680196
04.04.12;0,706647433
05.04.12;0,758991688
06.04.12;0,680475306
07.04.12;0,785163815
08.04.12;0,785163815
09.04.12;0,628131052
10.04.12;0,785163815
11.04.12;0,837508069
12.04.12;0,785163815
13.04.12;0,575786798
14.04.12;0,680475306
15.04.12;0,601958925
16.04.12;0,628131052
17.04.12;0,601958925
18.04.12;0,889852324
19.04.12;0,575786798
20.04.12;0,706647433
21.04.12;0,706647433
22.04.12;0,680475306
23.04.12;0,732819561
24.04.12;0,523442543
25.04.12;0,706647433
26.04.12;0,968368705
27.04.12;0,916024451
28.04.12;0,732819561
29.04.12;0,680475306
30.04.12;0,654303179
01.05.12;0,758991688
02.05.12;0,680475306
03.05.12;0,680475306
04.05.12;0,575786798
05.05.12;0,654303179
06.05.12;1,256262104
07.05.12;0,916024451
08.05.12;0,601958925
09.05.12;0,575786798
10.05.12;0,785163815
11.05.12;0,758991688
12.05.12;0,968368705
13.05.12;0,916024451
14.05.12;0,863680196
15.05.12;0,785163815
16.05.12;0,523442543
17.05.12;0,575786798
18.05.12;0,601958925
19.05.12;0,575786798
20.05.12;0,575786798
21.05.12;0,785163815
22.05.12;0,785163815
23.05.12;0,758991688
24.05.12;0,628131052
25.05.12;0,601958925
26.05.12;0,601958925
27.05.12;0,575786798
28.05.12;0,575786798
29.05.12;0,654303179
30.05.12;0,654303179
31.05.12;0,54961467
01.06.12;0,680475306
02.06.12;0,601958925
03.06.12;0,601958925
04.06.12;0,497270416
05.06.12;0,628131052
06.06.12;0,523442543
07.06.12;0,575786798
08.06.12;0,837508069
09.06.12;0,968368705
10.06.12;0,785163815
11.06.12;0,680475306
12.06.12;0,758991688
13.06.12;0,889852324
14.06.12;0,680475306
15.06.12;0,680475306
16.06.12;0,680475306
17.06.12;0,732819561
18.06.12;0,706647433
19.06.12;0,889852324
20.06.12;0,706647433
21.06.12;0,706647433
22.06.12;0,654303179
23.06.12;0,837508069
24.06.12;0,758991688
25.06.12;0,654303179
26.06.12;0,680475306
27.06.12;0,706647433
28.06.12;0,601958925
29.06.12;0,706647433
30.06.12;0,628131052
01.07.12;0,706647433
02.07.12;0,654303179
03.07.12;0,654303179
04.07.12;0,601958925
05.07.12;0,471098289
06.07.12;0,601958925
07.07.12;0,575786798
08.07.12;0,732819561
09.07.12;0,968368705
10.07.12;0,732819561
11.07.12;0,863680196
12.07.12;0,732819561
13.07.12;0,680475306
14.07.12;0,785163815
15.07.12;0,811335942
16.07.12;0,758991688
17.07.12;0,863680196
18.07.12;0,889852324
19.07.12;0,968368705
20.07.12;1,046885086
21.07.12;1,073057214
22.07.12;0,732819561
23.07.12;0,811335942
24.07.12;0,706647433
25.07.12;0,706647433
26.07.12;0,863680196
27.07.12;0,732819561
28.07.12;0,628131052
29.07.12;0,758991688
30.07.12;0,732819561
31.07.12;0,889852324
01.08.12;0,758991688
02.08.12;0,758991688
03.08.12;0,916024451
04.08.12;0,889852324
05.08.12;0,916024451
06.08.12;0,837508069
07.08.12;0,837508069
08.08.12;0,994540832
09.08.12;0,889852324
10.08.12;0,863680196
11.08.12;0,863680196
12.08.12;1,046885086
13.08.12;0,863680196
14.08.12;1,046885086
15.08.12;1,073057214
16.08.12;1,151573595
17.08.12;1,413294867
18.08.12;1,151573595
19.08.12;1,413294867
20.08.12;1,046885086
21.08.12;1,491811248
22.08.12;1,439466994
23.08.12;1,282434231
24.08.12;0,994540832
25.08.12;0,994540832
26.08.12;1,020712959
27.08.12;0,968368705
28.08.12;0,811335942
29.08.12;1,125401468
30.08.12;0,889852324
31.08.12;0,706647433
01.09.12;0,785163815
02.09.12;0,916024451
03.09.12;0,758991688
04.09.12;0,811335942
05.09.12;2,617212716
06.09.12;2,407835699
07.09.12;1,439466994
08.09.12;1,177745722
09.09.12;1,334778485
10.09.12;1,020712959
11.09.12;0,968368705
12.09.12;0,785163815
13.09.12;0,889852324
14.09.12;0,916024451
15.09.12;0,942196578
16.09.12;0,968368705
17.09.12;1,046885086
18.09.12;1,020712959
19.09.12;1,151573595
20.09.12;0,994540832
21.09.12;0,863680196
22.09.12;0,758991688
23.09.12;0,863680196
24.09.12;0,916024451
25.09.12;0,994540832
26.09.12;1,020712959
27.09.12;1,020712959
28.09.12;1,020712959
29.09.12;0,916024451
30.09.12;0,994540832
01.10.12;1,073057214
02.10.12;1,073057214
03.10.12;1,099229341
